State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	5.41240	6.38896	7.89510	10.04743	13.69132	18.58871	24.58413	32.11970	39.80588	39.90791	38.15884	43.96478	45.02394	43.68299	40.29174	33.99023	26.07084	19.31749	14.57071	10.85394	8.52185
2	4.16521	5.09235	6.62490	8.43766	11.03573	14.52634	18.73998	22.72529	24.51384	28.08402	30.68555	27.47515	25.62779	24.23363	23.00897	20.69112	17.48419	13.33974	9.53777	7.02619	5.10619
3	1.84589	1.98837	2.12557	2.23111	2.30604	2.29865	2.07174	1.67280	1.38679	1.25803	1.26648	1.09972	0.98996	0.95619	1.02057	1.12400	1.29181	1.46595	1.56410	1.58837	1.59259
4	1.57232	1.55417	1.63405	1.74299	1.77386	1.77386	1.75570	1.65403	1.45431	1.19286	0.97135	0.85516	0.80432	0.82611	0.82611	0.96954	1.03309	1.12568	1.17107	1.17833	1.23462
5	3.61796	3.68508	3.58775	3.46358	2.93666	2.40302	1.98686	1.76535	1.58076	1.49014	1.46329	1.49350	1.50357	1.78213	2.64467	5.03091	8.22599	10.62566	11.68957	11.70299	11.23313
6	1.03625	0.96993	0.85842	0.75941	0.68347	0.62291	0.56907	0.54024	0.49506	0.47006	0.45661	0.44795	0.47775	0.50467	0.53928	0.62194	0.79497	1.11027	1.53708	1.99272	2.35416
7	0.90900	0.84079	0.76919	0.69227	0.62406	0.54908	0.51183	0.46877	0.43733	0.43346	0.44555	0.46103	0.47748	0.49586	0.52489	0.57327	0.69808	0.87514	1.08122	1.28005	1.48033
8	2.27746	2.26505	2.32090	2.01683	1.92995	1.94857	1.68172	1.53899	1.90513	2.22782	1.79343	1.08598	0.82535	1.00531	1.03013	1.23492	1.29698	1.35283	1.45212	1.49556	1.58243
9	0.67977	0.66190	0.63759	0.60771	0.56485	0.51097	0.45219	0.39196	0.34834	0.32637	0.32016	0.32220	0.33284	0.34459	0.36187	0.38783	0.41993	0.45500	0.48420	0.50612	0.51982
10	2.06129	2.06639	2.04600	2.02420	1.97012	1.86536	1.71076	1.52785	1.36221	1.28803	1.26962	1.26651	1.31521	1.38458	1.44914	1.51992	1.57910	1.61591	1.63544	1.65045	1.65442
