State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2.12330	2.14153	2.14153	2.17798	2.11419	2.10963	2.11419	2.13697	2.07774	2.00028	1.89092	1.82713	1.75879	1.72689	1.70866	1.71322	1.69044	1.68133	1.65854	1.61754	1.62209
2	0.45101	0.45200	0.45082	0.45001	0.45088	0.45076	0.44908	0.44827	0.45076	0.45256	0.45667	0.45767	0.45923	0.46035	0.46296	0.46589	0.46931	0.47074	0.47367	0.47660	0.47971
3	1.20317	1.20252	1.20737	1.20317	1.20543	1.20511	1.20672	1.20188	1.20672	1.21286	1.21738	1.22061	1.21577	1.21964	1.22449	1.22352	1.23418	1.24064	1.24645	1.24516	1.25033
4	1.31515	1.31305	1.32319	1.32950	1.33314	1.33142	1.32529	1.33888	1.34883	1.35782	1.38365	1.41178	1.45331	1.48698	1.51683	1.54152	1.57654	1.59165	1.61232	1.62705	1.64791
5	4.05555	4.07236	4.08312	4.08513	4.08581	4.08917	4.07236	4.02261	3.99571	3.95470	3.86259	3.74762	3.64610	3.52507	3.40809	3.26286	3.12100	3.01813	2.91795	2.82114	2.70617
6	3.28260	3.36254	3.39252	3.37753	3.54241	3.66232	3.77224	3.93212	3.91714	3.89215	4.00207	3.91214	3.57239	3.50744	3.30758	3.13271	3.11272	2.92786	2.81794	2.76298	2.84292
7	0.77333	0.77038	0.75263	0.75855	0.73489	0.71862	0.73045	0.70975	0.71271	0.71714	0.71419	0.71123	0.72749	0.73932	0.75263	0.77185	0.75559	0.78220	0.78812	0.81326	0.81621
8	4.30431	4.29521	4.36801	4.43171	4.21331	3.97671	4.07681	4.10411	3.95851	4.06771	3.73100	3.80380	3.64910	3.32150	3.03940	3.07580	3.03940	3.17590	3.17590	2.92110	2.84830
9	1.04416	0.98842	0.96985	1.05531	1.05531	1.06274	1.11476	1.12220	1.21138	1.15564	1.08875	1.15192	1.18908	1.11476	1.18165	1.24110	1.23739	1.25597	1.30056	1.24110	1.31914
10	1.01090	1.09637	1.05216	1.01384	0.99027	1.06100	1.06984	1.12584	1.09931	1.15826	1.19068	1.17005	1.18478	1.22604	1.23194	1.24078	1.23783	1.22899	1.29383	1.30562	1.24962
11	1.02697	0.98978	0.99836	1.01266	1.02125	1.00980	1.11279	1.16142	1.17286	1.16714	1.16428	1.21005	1.13567	1.20719	1.21005	1.24724	1.19288	1.26154	1.24151	1.30159	1.27012
12	1.15961	1.05065	1.09346	1.07400	1.15572	1.15183	1.18296	1.14405	1.08568	1.10513	1.01174	1.03509	0.99228	0.95726	0.98061	1.03120	0.96894	1.03898	0.91835	0.95337	0.98839
13	3.57041	3.41312	3.39215	3.28729	3.11952	3.10903	2.94126	2.73679	2.63717	2.56377	2.36979	2.49562	2.72630	2.78397	2.89932	3.03563	2.90980	2.79970	2.77349	2.94650	2.93602
14	4.00649	4.10154	3.81640	3.65556	3.70673	3.58976	3.54589	3.50933	3.27538	3.12185	3.11453	2.90982	2.80747	2.80016	2.69780	2.60276	2.86596	2.91713	2.81478	2.93176	2.90982
15	1.81698	1.80997	1.68369	1.72578	1.64861	1.77489	1.87311	2.02043	2.09058	2.09058	2.32209	2.29403	2.32910	2.34314	2.28701	2.30104	2.22387	2.27298	2.42732	2.34314	2.27298
