State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	0.76305	0.65206	2.29113	0.73204	1.89112	0.54697	0.57709	0.89276
2	55.84389	0.17441	0.38168	0.67529	0.45672	0.28406	0.37205	1.39070
3	10.76417	1.75671	1.10612	0.88823	1.21751	1.20684	1.68830	1.01889
4	18.16987	0.40418	1.22332	1.40344	1.38380	0.45198	0.94732	0.40106
5	5.17121	0.31516	4.64369	2.23840	3.86097	0.43204	0.62054	0.17436
6	0.69587	0.20675	3.54790	2.25813	4.00249	0.97464	1.52515	0.04084
7	2.35135	0.56853	0.77839	2.28133	0.71426	0.47378	0.83659	0.09440
8	0.38207	1.21562	3.23184	2.26578	3.73139	2.60249	11.28719	0.06078
9	0.93566	0.11555	1.06434	1.35417	1.08887	1.52516	1.93676	0.21233
10	1.17969	0.21215	0.93337	1.39959	1.19080	0.64256	0.96358	0.22240
11	1.21540	0.15572	0.96298	1.19424	1.16440	1.18928	1.96126	0.42724
12	0.89348	5.06079	1.39746	0.83192	1.01185	5.10750	3.46946	0.56781
13	0.66315	46.48230	6.23814	1.31909	2.37003	37.92461	18.14675	0.41311
14	0.47555	47.96346	7.89811	1.64620	3.11486	48.79375	24.22740	0.18420
15	0.49560	2.48441	1.70872	1.05405	2.32233	1.91342	1.73439	0.76192
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
