State (Emission order)	H3k36me3	H4k20me1	H3k4me1	H3k27ac	H3k4me2	H3k4me3	H2afz	Ctcf	H3k27me3	H3k9me3
1	0.008488931542792415	0.09061778355687355	0.2834457797282519	0.8673539185480158	0.8493666251034444	0.9818844533615122	0.7401333661950297	0.18360277272914563	0.004798741142756062	8.242987523556176E-4
2	0.007464369333505219	0.0196684337419264	0.2093566240663208	0.024844202916423346	0.562183717946165	0.5380330974374989	0.6411278642275422	0.14000267514785536	0.05982403295390219	0.016110048711754085
3	0.005440288332099406	0.003743709423525501	0.23072674387085218	0.07939920999423433	0.06006457250130564	0.005076716200343724	0.18000255562587344	0.0075700750555339445	0.008396016084673585	0.0020611744097739516
4	0.009671903904296205	0.009418240972046134	0.7194357625195087	0.9170067895794994	0.5370429197755986	0.15244793581844937	0.277437563941001	0.049103757713751396	0.005215150549853981	0.0013933725229289017
5	0.3202396505658102	0.39041681622836194	0.5867876839041108	0.49870843647001667	0.4054490766325553	0.17119437621029074	0.019163335790648817	0.05085736471685543	0.004872533641225707	0.0016062168269022604
6	0.05219906222743592	0.20705476647612678	0.02440501029741851	0.004727058520004783	0.003436915793034698	0.0013745484401489246	0.0010374144509286167	0.010767149004819667	0.004433491200807625	0.001059392490155166
7	0.36711623855224357	0.03419699729990191	0.006049289328207659	0.006246691835015417	4.0378303103176966E-4	0.00104896284110162	0.0015047702872439134	0.012775771413444097	0.003916974670466066	0.007345754462826368
8	0.008508030765252335	0.016114647659592835	0.042581193370194254	0.0077255692447042515	0.03783989039063524	0.006497805919034632	0.10135853696171748	0.9424332034297485	0.028919990486686847	0.006800938968454015
9	0.0013052146043582376	8.857556564233199E-4	1.1840310660184788E-8	6.730087313810104E-5	1.6614391737900677E-5	2.797697267974288E-4	0.0034141670415435963	0.0025320118941013882	0.006641492765417991	0.015593701539515288
10	1.053693153642339E-4	0.001512884523071035	0.0015801928728827568	1.3972979890744807E-4	6.126110888891448E-4	8.376158479091114E-4	0.006029094140818999	0.004217009672465661	0.11103551315535233	0.009743174220395074
