15	10	E	-9125446.491815351	200
probinit	1	2.2585714170403118E-155
probinit	2	1.0
probinit	3	3.3197697545993606E-58
probinit	4	4.4106557916932845E-181
probinit	5	0.0
probinit	6	0.0
probinit	7	0.0
probinit	8	0.0
probinit	9	0.0
probinit	10	0.0
probinit	11	0.0
probinit	12	1.987966533227295E-155
probinit	13	0.0
probinit	14	0.0
probinit	15	0.0
transitionprobs	1	1	0.8608388700559131
transitionprobs	1	2	0.12621522963098236
transitionprobs	1	3	0.008977512869637366
transitionprobs	1	4	1.746556854415412E-7
transitionprobs	1	5	0.001653205758398706
transitionprobs	1	6	1.502066791601401E-5
transitionprobs	1	7	9.056561193091113E-5
transitionprobs	1	8	0.0
transitionprobs	1	9	0.0
transitionprobs	1	10	0.0014097019409854388
transitionprobs	1	11	0.0
transitionprobs	1	12	0.0
transitionprobs	1	13	6.524889871382936E-4
transitionprobs	1	14	0.0
transitionprobs	1	15	1.472298214123489E-4
transitionprobs	2	1	0.0025333838038502383
transitionprobs	2	2	0.9896226903303056
transitionprobs	2	3	0.0011545889365067589
transitionprobs	2	4	7.134725113071798E-4
transitionprobs	2	5	4.942460726977903E-6
transitionprobs	2	6	0.0
transitionprobs	2	7	2.652049848234823E-6
transitionprobs	2	8	0.0
transitionprobs	2	9	1.3701433976768006E-5
transitionprobs	2	10	5.6637623125325576E-5
transitionprobs	2	11	5.889412685202716E-4
transitionprobs	2	12	0.0039631829811478
transitionprobs	2	13	1.1503754315989663E-4
transitionprobs	2	14	7.091480060075953E-7
transitionprobs	2	15	0.0012300599095192018
transitionprobs	3	1	8.913283394653039E-4
transitionprobs	3	2	0.005776644284293888
transitionprobs	3	3	0.975496964350242
transitionprobs	3	4	0.0018068369130917453
transitionprobs	3	5	0.0
transitionprobs	3	6	0.0
transitionprobs	3	7	0.0
transitionprobs	3	8	0.0
transitionprobs	3	9	0.0
transitionprobs	3	10	0.0
transitionprobs	3	11	0.003152338902768727
transitionprobs	3	12	0.003013110225112463
transitionprobs	3	13	0.0037041963186175237
transitionprobs	3	14	0.0
transitionprobs	3	15	0.00615858066640821
transitionprobs	4	1	0.0
